"country","date","topic"
"DE","1991-03-13","environment"
"DE","1991-03-14","environment"
"DE","1991-03-14","environment"
"DE","1991-03-14","environment"
"DE","1991-03-14","environment"
"DE","1991-03-14","environment"
"DE","1991-03-14","environment"
"DE","1991-03-14","environment"
"DE","1991-03-14","environment"
"DE","1991-03-21","environment"
"DE","1991-03-21","environment"
"DE","1991-03-21","environment"
"DE","1991-04-19","environment"
"DE","1991-04-19","environment"
"DE","1991-04-19","environment"
"DE","1991-04-19","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-04-25","environment"
"DE","1991-05-14","environment"
"DE","1991-05-14","environment"
"DE","1991-05-14","environment"
"DE","1991-05-14","environment"
"DE","1991-05-14","environment"
"DE","1991-05-14","environment"
"DE","1991-05-14","environment"
"DE","1991-05-14","environment"
"DE","1991-05-14","environment"
"DE","1991-05-14","environment"
"DE","1991-05-14","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-06","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-12","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-06-19","environment"
"DE","1991-09-04","environment"
"DE","1991-09-06","environment"
"DE","1991-09-06","environment"
"DE","1991-09-19","environment"
"DE","1991-09-19","environment"
"DE","1991-09-19","environment"
"DE","1991-09-19","environment"
"DE","1991-09-20","environment"
"DE","1991-09-25","environment"
"DE","1991-09-25","environment"
"DE","1991-09-25","environment"
"DE","1991-09-25","environment"
"DE","1991-09-25","environment"
"DE","1991-09-25","environment"
"DE","1991-09-25","environment"
"DE","1991-09-25","environment"
"DE","1991-09-25","environment"
"DE","1991-09-25","environment"
"DE","1991-09-25","environment"
"DE","1991-09-27","environment"
"DE","1991-09-27","environment"
"DE","1991-09-27","environment"
"DE","1991-09-27","environment"
"DE","1991-09-27","environment"
"DE","1991-09-27","environment"
"DE","1991-09-27","environment"
"DE","1991-09-27","environment"
"DE","1991-09-27","environment"
"DE","1991-10-09","environment"
"DE","1991-10-09","environment"
"DE","1991-10-09","environment"
"DE","1991-10-09","environment"
"DE","1991-10-09","environment"
"DE","1991-10-09","environment"
"DE","1991-10-09","environment"
"DE","1991-10-09","environment"
"DE","1991-10-09","environment"
"DE","1991-10-09","environment"
"DE","1991-10-10","environment"
"DE","1991-10-10","environment"
"DE","1991-10-10","environment"
"DE","1991-10-10","environment"
"DE","1991-10-10","environment"
"DE","1991-10-16","environment"
